id,name,variant,price,brand,image_name,image_url,category
631011-21920_9700,Offener Longblazer mit Velours-Touch,offwhite,99.99,gerry weber,offener-longblazer-mit-velours-touch-01.jpg,https://pic.gerryweber.com/static/i/14_631011-21920_9700_01/pdmain/offener-longblazer-mit-velours-touch-01.jpg,Jacken
631014-26302_5350,Elegante Longjacke mit Chiffon-Patch,seaweed,89.99,gerry weber,elegante-longjacke-mit-chiffon-patch-02.jpg,https://pic.gerryweber.com/static/i/14_631014-26302_5350_02/pdmain/elegante-longjacke-mit-chiffon-patch-02.jpg,Jacken
632001-25005_4110,Langer Strick-Cardigan,blazing yellow,69.99,gerry weber,langer-strick-cardigan-01.jpg,https://pic.gerryweber.com/static/i/14_632001-25005_4110_01/pdmain/langer-strick-cardigan-01.jpg,Oberteile
632003-25104_2102,Langer Cardigan mit Wording,frost grey gemustert,79.99,gerry weber,langer-cardigan-mit-wording-01.jpg,https://pic.gerryweber.com/static/i/14_632003-25104_2102_01/pdmain/langer-cardigan-mit-wording-01.jpg,Jacken
632005-25105_6330,Strickjacke aus Baumwoll-Rippstrick,fusion coral,89.99,gerry weber,strickjacke-aus-baumwoll-rippstrick-01.jpg,https://pic.gerryweber.com/static/i/14_632005-25105_6330_01/pdmain/strickjacke-aus-baumwoll-rippstrick-01.jpg,Oberteile
632005-25105_9200,Strickjacke aus Baumwoll-Rippstrick,pearl,69.99,gerry weber,strickjacke-aus-baumwoll-rippstrick-01.jpg,https://pic.gerryweber.com/static/i/14_632005-25105_9200_01/pdmain/strickjacke-aus-baumwoll-rippstrick-01.jpg,Oberteile
632007-25102_3170,Lange Strickjacke mit Bindegürtel,pastel lilac,89.99,gerry weber,lange-strickjacke-mit-bindeguertel-01.jpg,https://pic.gerryweber.com/static/i/14_632007-25102_3170_01/pdmain/lange-strickjacke-mit-bindeguertel-01.jpg,Oberteile
632011-25203_5350,Offene Strickjacke aus Struktur-Strick,seaweed,89.99,gerry weber,offene-strickjacke-aus-struktur-strick-02.jpg,https://pic.gerryweber.com/static/i/14_632011-25203_5350_02/pdmain/offene-strickjacke-aus-struktur-strick-02.jpg,Oberteile
640003-21501_2990,Weste mit Metallic-Optik,silver metal,99.99,gerry weber,weste-mit-metallic-optik-01.jpg,https://pic.gerryweber.com/static/i/14_640003-21501_2990_01/pdmain/weste-mit-metallic-optik-01.jpg,Jacken
640004-21623_8100,Glänzende Steppweste,navy,99.99,gerry weber,glaenzende-steppweste-01.jpg,https://pic.gerryweber.com/static/i/14_640004-21623_8100_01/pdmain/glaenzende-steppweste-01.jpg,Jacken
640004-21623_8360,Glänzende Steppweste,cameo blue,79.99,gerry weber,glaenzende-steppweste-01.jpg,https://pic.gerryweber.com/static/i/14_640004-21623_8360_01/pdmain/glaenzende-steppweste-01.jpg,Jacken
